128 128
35.0808441 -111.4671000 -1100.0000000
36.8748665 -111.4671000 -1100.0000000
38.6688890 -111.4671000 -1100.0000000
40.4629114 -111.4671000 -1100.0000000
42.2569339 -111.4671000 -1100.0000000
44.0509563 -111.4671000 -1100.0000000
45.8449787 -111.4671000 -1100.0000000
47.6390012 -111.4671000 -1100.0000000
49.4330236 -111.4671000 -1100.0000000
51.2270461 -111.4671000 -1100.0000000
53.0210685 -111.4671000 -1100.0000000
54.8150909 -111.4671000 -1100.0000000
56.6091134 -111.4671000 -1100.0000000
58.4031358 -111.4671000 -1100.0000000
60.1971583 -111.4671000 -1100.0000000
61.9911807 -111.4671000 -1100.0000000
63.7852031 -111.4671000 -1100.0000000
65.5792256 -111.4671000 -1100.0000000
67.3732480 -111.4671000 -1100.0000000
69.1672705 -111.4671000 -1100.0000000
70.9612929 -111.4671000 -1100.0000000
72.7553154 -111.4671000 -1100.0000000
74.5493378 -111.4671000 -1100.0000000
76.3433602 -111.4671000 -1100.0000000
78.1373827 -111.4671000 -1100.0000000
79.9314051 -111.4671000 -1100.0000000
81.7254276 -111.4671000 -1100.0000000
83.5194500 -111.4671000 -1100.0000000
-144.3214000 -109.6472220 -1100.0000000
-142.5273776 -109.6472220 -852.1282749
-140.7333551 -109.6472220 -851.7107499
-138.9393327 -109.6472220 -851.5135404
-137.1453102 -109.6472220 -851.2105708
-135.3512878 -109.6472220 -850.8478506
-133.5572654 -109.6472220 -850.5918046
-131.7632429 -109.6472220 -850.2875952
-129.9692205 -109.6472220 -849.9532313
-128.1751980 -109.6472220 -849.7781706
-126.3811756 -109.6472220 -849.6006354
-124.5871531 -109.6472220 -849.3098636
-122.7931307 -109.6472220 -849.0244835
-120.9991083 -109.6472220 -848.7849814
-119.2050858 -109.6472220 -848.5447483
-117.4110634 -109.6472220 -848.3727894
-115.6170409 -109.6472220 -848.1541599
-113.8230185 -109.6472220 -847.9110846
-112.0289961 -109.6472220 -847.7444098
-110.2349736 -109.6472220 -847.6007828
-108.4409512 -109.6472220 -847.4544988
-106.6469287 -109.6472220 -847.2902334
-104.8529063 -109.6472220 -847.1543099
-103.0588839 -109.6472220 -846.9691165
-101.2648614 -109.6472220 -846.7856488
-99.4708390 -109.6472220 -846.7654122
-97.6768165 -109.6472220 -846.6843127
-95.8827941 -109.6472220 -846.4154279
-94.0887717 -109.6472220 -846.3220796
-92.2947492 -109.6472220 -846.2893902
-90.5007268 -109.6472220 -846.1422765
-88.7067043 -109.6472220 -846.0119239
-86.9126819 -109.6472220 -846.0255972
-85.1186594 -109.6472220 -845.9959622
-83.3246370 -109.6472220 -845.8777341
-81.5306146 -109.6472220 -845.8039713
-79.7365921 -109.6472220 -845.8177579
-77.9425697 -109.6472220 -845.7141790
-76.1485472 -109.6472220 -845.6027204
-74.3545248 -109.6472220 -845.6130300
-72.5605024 -109.6472220 -845.5826406
-70.7664799 -109.6472220 -845.5599612
-68.9724575 -109.6472220 -845.4968769
