128 128
 25.407630 -11.258063 -830.931519
 26.401165 -11.365430 -830.894626
 27.394700 -11.472796 -830.857733
 28.388234 -11.580162 -830.820839
 29.381769 -11.687528 -830.783946
 30.375304 -11.794895 -830.747052
 31.368839 -11.902261 -830.710159
 32.362374 -12.009627 -830.673266
 33.355908 -12.116994 -830.636372
 34.349443 -12.224360 -830.599479
 35.342978 -12.331726 -830.562585
 36.336513 -12.439092 -830.525692
 37.330047 -12.546459 -830.488799
 38.323582 -12.653825 -830.451905
-87.751825   1.971865 -835.043310
-86.758290   1.864498 -835.006417
-85.764755   1.757132 -834.969524
-84.771220   1.649766 -834.932630
-83.777685   1.542399 -834.895737
-82.784151   1.435033 -834.858843
-81.790616   1.327667 -834.821950
-80.797081   1.220301 -834.785057
-79.803546   1.112934 -834.748163
-78.810012   1.005568 -834.711270
-77.816477   0.898202 -834.674376
-76.822942   0.790835 -834.637483
-75.829407   0.683469 -834.600590
-74.835872   0.576103 -834.563696
-73.842338   0.468737 -834.526803
-72.848803   0.361370 -834.489909
-71.855268   0.254004 -834.453016
-70.861733   0.146638 -834.416123
-69.868199   0.039271 -834.379229
-68.874664  -0.068095 -834.342336
-67.881129  -0.175461 -834.305442
-66.887594  -0.282827 -834.268549
-65.894059  -0.390194 -834.231656
-64.900525  -0.497560 -834.194762
-63.906990  -0.604926 -834.157869
-62.913455  -0.712293 -834.120975
-61.919920  -0.819659 -834.084082
-60.926386  -0.927025 -834.047189
-59.932851  -1.034391 -834.010295
-58.939316  -1.141758 -833.973402
-57.945781  -1.249124 -833.936508
-56.952246  -1.356490 -833.899615
-55.958712  -1.463857 -833.862722
-54.965177  -1.571223 -833.825828
-53.971642  -1.678589 -833.788935
-52.978107  -1.785955 -833.752041
-51.984572  -1.893322 -833.715148
-50.991038  -2.000688 -833.678255
-49.997503  -2.108054 -833.641361
-49.003968  -2.215421 -833.604468
-48.010433  -2.322787 -833.567574
-47.016899  -2.430153 -833.530681
-46.023364  -2.537519 -833.493787
-45.029829  -2.644886 -833.456894
-44.036294  -2.752252 -833.420001
-43.042759  -2.859618 -833.383107
-42.049225  -2.966985 -833.346214
-41.055690  -3.074351 -833.309320
-40.062155  -3.181717 -833.272427
-39.068620  -3.289083 -833.235534
-38.075086  -3.396450 -833.198640
-37.081551  -3.503816 -833.161747
-36.088016  -3.611182 -833.124853
-35.094481  -3.718549 -833.087960
-34.100946  -3.825915 -833.051067
-33.107412  -3.933281 -833.014173
-32.113877  -4.040647 -832.977280
-31.120342  -4.148014 -832.940386
-30.126807  -4.255380 -832.903493
-29.133273  -4.362746 -832.866600
-28.139738  -4.470113 -832.829706
-27.146203  -4.577479 -832.792813
-26.152668  -4.684845 -832.755919
-25.159133  -4.792211 -832.719026
-24.165599  -4.899578 -832.682133
-23.172064  -5.006944 -832.645239
-22.178529  -5.114310 -832.608346
-21.184994  -5.221677 -832.571452
-20.191460  -5.329043 -832.534559
-19.197925  -5.436409 -832.497666
-18.204390  -5.543775 -832.460772
-17.210855  -5.651142 -832.423879
-16.217320  -5.758508 -832.386985
-15.223786  -5.865874 -832.350092
-14.230251  -5.973241 -832.313199
-13.236716  -6.080607 -832.276305
-12.243181  -6.187973 -832.239412
-11.249647  -6.295339 -832.202518
-10.256112  -6.402706 -832.165625
 -9.262577  -6.510072 -832.128731
 -8.269042  -6.617438 -832.091838
 -7.275507  -6.724805 -832.054945
 -6.281973  -6.832171 -832.018051
 -5.288438  -6.939537 -831.981158
 -4.294903  -7.046903 -831.944264
 -3.301368  -7.154270 -831.907371
 -2.307834  -7.261636 -831.870478
 -1.314299  -7.369002 -831.833584
 -0.320764  -7.476369 -831.796691
  0.672771  -7.583735 -831.759797
  1.666306  -7.691101 -831.722904
  2.659840  -7.798467 -831.686011
  3.653375  -7.905834 -831.649117
  4.646910  -8.013200 -831.612224
  5.640445  -8.120566 -831.575330
  6.633979  -8.227933 -831.538437
  7.627514  -8.335299 -831.501544
  8.469885  -8.733230 -828.239423
  9.497746  -8.774615 -828.934906
 10.526245  -8.814775 -829.644000
 11.560302  -8.844249 -830.471693
 12.593500  -8.875376 -831.281051
 13.588723  -8.979497 -831.280183
 14.582258  -9.086863 -831.243290
 15.575792  -9.194229 -831.206396
 16.569327  -9.301595 -831.169503
 17.562862  -9.408962 -831.132610
 18.556397  -9.516328 -831.095716
 19.549932  -9.623694 -831.058823
 20.543466  -9.731061 -831.021929
 21.537001  -9.838427 -830.985036
 22.530536  -9.945793 -830.948143
 23.524071 -10.053159 -830.911249
 24.517605 -10.160526 -830.874356
 25.511140 -10.267892 -830.837462
 26.504675 -10.375258 -830.800569
 27.498210 -10.482625 -830.763676
 28.491745 -10.589991 -830.726782
 29.485279 -10.697357 -830.689889
 30.478814 -10.804723 -830.652995
 31.472349 -10.912090 -830.616102
 32.465884 -11.019456 -830.579208
 33.459419 -11.126822 -830.542315
 34.452953 -11.234189 -830.505422
 35.446488 -11.341555 -830.468528
 36.440023 -11.448921 -830.431635
 37.433558 -11.556287 -830.394741
 38.427092 -11.663654 -830.357848
-87.648314   2.962036 -834.949253
-86.654780   2.854669 -834.912360
-85.661245   2.747303 -834.875467
-84.667710   2.639937 -834.838573
-83.674175   2.532571 -834.801680
-82.680641   2.425204 -834.764786
-81.687106   2.317838 -834.727893
-80.693571   2.210472 -834.691000
-79.700036   2.103105 -834.654106
-78.706501   1.995739 -834.617213
-77.712967   1.888373 -834.580319
-76.719432   1.781007 -834.543426
-75.725897   1.673640 -834.506533
-74.732362   1.566274 -834.469639
-73.738828   1.458908 -834.432746
-72.745293   1.351541 -834.395852
-71.751758   1.244175 -834.358959
-70.758223   1.136809 -834.322066
-69.764688   1.029443 -834.285172
-68.771154   0.922076 -834.248279
-67.777619   0.814710 -834.211385
-66.784084   0.707344 -834.174492
-65.790549   0.599977 -834.137598
-64.797014   0.492611 -834.100705
-63.803480   0.385245 -834.063812
-62.809945   0.277879 -834.026918
-61.816410   0.170512 -833.990025
-60.822875   0.063146 -833.953131
-59.829341  -0.044220 -833.916238
-58.835806  -0.151587 -833.879345
-57.842271  -0.258953 -833.842451
-56.848736  -0.366319 -833.805558
-55.855201  -0.473685 -833.768664
-54.861667  -0.581052 -833.731771
-53.868132  -0.688418 -833.694878
-52.874597  -0.795784 -833.657984
-51.881062  -0.903151 -833.621091
-50.887528  -1.010517 -833.584197
-49.893993  -1.117883 -833.547304
-48.900458  -1.225249 -833.510411
-47.906923  -1.332616 -833.473517
-46.913388  -1.439982 -833.436624
-45.919854  -1.547348 -833.399730
-44.926319  -1.654715 -833.362837
-43.932784  -1.762081 -833.325944
-42.939249  -1.869447 -833.289050
-41.945715  -1.976813 -833.252157
-40.952180  -2.084180 -833.215263
-39.958645  -2.191546 -833.178370
-38.965110  -2.298912 -833.141477
-37.971575  -2.406279 -833.104583
-36.978041  -2.513645 -833.067690
-35.984506  -2.621011 -833.030796
-34.990971  -2.728377 -832.993903
-33.997436  -2.835744 -832.957010
-33.003902  -2.943110 -832.920116
-32.010367  -3.050476 -832.883223
-31.500209  -4.086981 -822.533011
-30.541241  -4.260791 -821.758601
-29.578286  -4.426938 -821.069250
-28.036228  -3.479941 -832.735649
-27.042693  -3.587308 -832.698756
-26.049158  -3.694674 -832.661862
